Date,Open,High,Low,Close,Adj Close,Volume
2023-02-03,56.740002,56.959999,56.410000,56.680000,54.403694,1972317
2023-02-06,56.500000,59.020000,56.110001,58.189999,55.853050,3451097
2023-02-07,58.389999,59.040001,58.080002,58.950001,56.582531,2633760
2023-02-08,59.470001,62.889999,58.430000,62.490002,59.980362,5781853
2023-02-09,64.059998,65.660004,60.250000,60.430000,58.003094,7460309
2023-02-10,60.200001,61.020000,58.650002,58.799999,56.438553,3386953
2023-02-13,58.700001,59.590000,58.560001,59.549999,57.158432,1795029
2023-02-14,59.820000,60.910000,59.799999,60.459999,58.031887,2443717
2023-02-15,60.369999,60.889999,59.290001,60.139999,57.724739,2517653
2023-02-16,60.049999,60.250000,58.910000,59.450001,57.062450,2313617
2023-02-17,59.070000,59.520000,58.730000,59.119999,56.745701,1912140
2023-02-20,59.439999,59.570000,58.680000,58.939999,56.572929,986745
2023-02-21,59.000000,59.669998,58.770000,59.250000,56.870480,1662729
2023-02-22,58.770000,59.060001,58.540001,59.060001,56.688114,1488227
2023-02-23,59.040001,60.290001,58.860001,59.910000,57.503975,1873376
2023-02-24,60.009998,60.270000,58.619999,58.619999,56.265781,5309442
2023-02-27,59.099998,59.540001,58.580002,58.580002,56.227390,2168680
2023-02-28,57.040001,57.490002,55.400002,56.290001,54.029358,8452781
2023-03-01,56.220001,56.709999,55.799999,56.340000,54.077351,2980050
2023-03-02,56.000000,56.900002,55.669998,56.820000,54.538071,2530685
2023-03-03,56.910000,57.700001,56.860001,57.599998,55.286743,1779945
2023-03-06,57.610001,57.820000,57.299999,57.630001,55.315544,1459995
2023-03-07,57.480000,58.060001,57.169998,57.250000,54.950802,2098090
2023-03-08,57.310001,58.770000,57.270000,58.470001,56.121807,2955610
2023-03-09,58.259998,58.439999,58.020000,58.020000,55.689880,1486828
2023-03-10,57.439999,57.889999,56.830002,57.700001,55.382732,2234812
2023-03-13,57.610001,57.630001,56.060001,56.060001,53.808594,3238876
2023-03-14,56.360001,57.730000,55.980000,57.220001,54.922009,1693347
2023-03-15,57.259998,57.639999,55.730000,55.750000,53.511044,2984296
2023-03-16,56.549999,56.799999,55.180000,55.770000,53.530239,2795575
2023-03-17,56.110001,56.939999,55.529999,55.810001,53.568634,6773765
2023-03-20,55.799999,56.529999,54.889999,56.029999,53.779797,2304644
2023-03-21,56.360001,57.389999,56.360001,57.180000,54.883614,2006943
2023-03-22,57.380001,57.529999,56.630001,56.630001,54.355701,1909871
2023-03-23,56.439999,56.549999,55.770000,55.939999,53.693413,1586844
2023-03-24,55.900002,55.900002,54.799999,55.549999,53.319077,2400463
2023-03-27,56.099998,56.270000,55.700001,56.000000,53.751003,1576063
2023-03-28,56.299999,57.259998,56.299999,56.869999,54.586063,1747012
2023-03-29,56.900002,57.590000,56.900002,57.270000,54.970001,1871787
2023-03-30,57.330002,58.099998,57.270000,57.779999,55.459515,1504546
2023-03-31,58.119999,59.000000,58.000000,58.720001,56.361767,2435611
2023-04-03,58.750000,59.389999,58.630001,59.080002,56.707310,1211744
2023-04-04,59.439999,59.549999,58.820000,58.820000,56.457748,1401576
2023-04-05,58.680000,59.709999,58.599998,59.520000,57.129639,1761863
2023-04-06,59.849998,60.750000,59.529999,60.560001,58.127872,1632485
2023-04-11,null,null,null,null,null,null
2023-04-12,60.220001,60.220001,59.349998,60.090000,57.676746,1997111
2023-04-13,60.139999,61.180000,59.939999,61.049999,58.598190,2155595
2023-04-14,61.029999,61.549999,60.959999,61.360001,58.895744,1610197
2023-04-17,61.400002,61.790001,61.000000,61.520000,59.049316,1316059
2023-04-18,61.740002,61.910000,61.080002,61.400002,58.934135,1425467
